0	1536	255	2304	1023	1
0	1536	255	2304	1023	2
0	1536	255	2304	1023	3
44	2112	831	2304	1023	4
4	1536	255	2304	1023	5
4	1536	255	2304	1023	6
4	1536	255	2304	1023	7
44	1920	639	2304	1023	8
4	1536	255	2304	1023	9
44	1920	639	2304	1023	10
44	1920	639	2304	1023	11
44	1920	639	2304	1023	12
4	1536	255	2304	1023	14
44	1920	639	2304	1023	15
44	1920	639	2304	1023	16
4	1536	255	2304	1023	17
44	1920	639	2304	1023	18
44	1920	639	2304	1023	19
44	2112	831	2304	1023	20
4	1536	255	2304	1023	21
44	1920	639	2304	1023	23
4	1536	255	2304	1023	24
4	1536	255	2304	1023	25
44	1920	639	2304	1023	26
4	1536	255	2304	1023	27
