0	2559	610	5631	1026	1
11	2559	610	3327	714	2
1	2559	610	5631	1026	3
11	2559	610	3327	714	4
11	2559	610	4095	818	5
11	2559	610	3327	714	6
112	2943	610	3327	662	7
112	2559	610	3327	714	8
112	2559	610	3327	714	9
112	2559	610	3327	714	10
11	2559	610	4095	818	11
11	2559	610	4095	818	12
112	2559	610	3327	714	13
112	2559	610	3327	714	14
11	2559	610	4095	818	15
1	2559	610	5631	1026	16
11	2559	610	4095	818	17
112	2559	610	3327	714	18
1	2559	610	5631	1026	19
1	2559	610	5631	1026	20
1	2559	610	5631	1026	21
1	2559	610	5631	1026	22
11	2559	610	4095	818	23
1	2559	610	5631	1026	24
1	2559	610	5631	1026	25
1	2559	610	5631	1026	26
11	2559	610	4095	818	28
11	2559	610	4095	818	33
112	2943	610	3327	662	35
112	2943	610	3327	662	36
112	2943	610	3327	662	38
112	2943	610	3327	662	41
11	2559	610	4095	818	43
11	2559	610	4095	818	44
