0	5631	769	5887	1793	1
0	5631	769	5887	1793	2
0	5631	769	5887	1793	3
0	5631	769	5887	1793	4
0	5631	769	5887	1793	5
0	5631	769	5887	1793	7
0	5631	769	5887	1793	8
0	5631	769	5887	1793	9
0	5631	769	5887	1793	10
0	5631	769	5887	1793	11
0	5631	769	5887	1793	12
0	5631	769	5887	1793	13
0	5631	769	5887	1793	14
23	5759	1025	5823	1281	15
2	5631	769	5887	1793	17
2	5631	769	5887	1793	18
23	5759	769	5887	1281	19
2	5631	769	5887	1793	20
2	5631	769	5887	1793	21
2	5631	769	5887	1793	22
2	5631	769	5887	1793	24
2	5631	769	5887	1793	25
2	5631	769	5887	1793	26
2	5631	769	5887	1793	27
2	5631	769	5887	1793	28
2	5631	769	5887	1793	29
